seq_id,start,end,strand,gene
NSSH2_hap1_chr13,16685310,16687259,-,DAB5.1bG
NSSH2_hap1_chr13,16723203,16725141,-,DAB5.1aG
NSSH2_hap1_chr13,16732419,16737762,-,DAA5.1G
NSSH2_hap1_chr5,27619439,27622529,+,DBB6.1NullG
NSSH2_hap1_chr7,3669790,3671956,+,DAA1.1G
NSSH2_hap1_chr7,3676356,3678408,+,DAB1.1G
NSSH2_hap1_chr7,4457950,4460079,-,DBA2.1ψG
NSSH2_hap1_chr7,4460527,4463861,+,DBB2.1G
NSSH2_hap1_chr7,4485579,4487583,-,DAB2.1G
NSSH2_hap1_chr7,4496512,4499319,-,DAA2.1G
NSSH2_hap1_chr7,4518591,4520628,-,DAB2.2G
NSSH2_hap1_chr7,4528506,4531170,-,DAA2.2G
NSSH2_hap1_chr7,21184191,21186942,-,DBA3.1G
NSSH2_hap1_chr7,21187394,21192752,+,DBB3.1NullG
NSSH2_hap1_chr7,30150279,30152601,-,DAB4.1G
NSSH2_hap1_chr7,30154693,30156841,-,DAA4.1G
NSSH2_hap1_chr7,30186118,30189285,-,DBB4.1G
NSSH2_hap1_chr7,30189733,30196349,+,DBA4.1G
NSSH2_hap1_chr5,27614369,27617019,-,DBA6.1NullG
NSSH2_hap1_chr7,3714775,3720192,+,DAA1.2G
NSSH2_hap1_chr7,3741488,3743570,+,DAB1.2G
NSSH2_hap1_chr7,3756191,3758282,-,DBB1.1NullG
