seq_id,start,end,strand,gene
NSSH10_hap1_chr8,31904383,31906891,+,DAA9.1G
NSSH10_hap1_chr8,31914805,31919010,+,DAB9.1G
NSSH10_hap1_chr13,16921439,16923391,-,DAB5.1bG
NSSH10_hap1_chr13,16962824,16964762,-,DAB5.1aG
NSSH10_hap1_chr13,16977537,16982887,-,DAA5.1G
NSSH10_hap1_chr7,3437459,3439631,+,DAA1.1G
NSSH10_hap1_chr7,3444063,3446141,+,DAB1.1G
NSSH10_hap1_chr7,4256721,4258866,-,DBA2.1ψG
NSSH10_hap1_chr7,4259314,4262648,+,DBB2.1G
NSSH10_hap1_chr7,4408299,4410992,-,DAA2.2G
NSSH10_hap1_chr7,21179267,21181999,-,DBA3.1G
NSSH10_hap1_chr7,21182451,21186176,+,DBB3.1G
NSSH10_hap1_chr7,30353583,30359969,-,DBA4.1G
NSSH10_hap1_chr7,30360417,30363434,+,DBB4.1G
NSSH10_hap1_chr7,30382430,30384653,+,DAA4.1G
NSSH10_hap1_chr7,3482311,3484664,+,DAA1.2G
NSSH10_hap1_chr7,3488276,3490527,+,DAB1.2G
NSSH10_hap1_chr7,3517719,3519941,-,DBB1.2NullG
NSSH10_hap1_chr7,30386742,30390156,+,DAB4.1G
NSSH10_hap1_chr7,3513093,3515733,-,DBB1.1G
NSSH10_hap1_chr7,4283039,4286869,-,DAB2.1G
NSSH10_hap1_chr7,4297717,4317584,-,DAA2.1G
NSSH10_hap1_chr7,4393389,4402903,-,DAB2.2G
NSSH10_hap1_chr5,27169898,27173531,-,DBA6.1NullG
NSSH10_hap1_chr5,27173965,27176628,+,DBB6.1G
