seq_id,start,end,strand,gene
Reference_chr13,16016296,16018248,-,DAB5.1aG
Reference_chr13,16040875,16042824,-,DAB5.1bG
Reference_chr13,16050001,16055280,-,DAA5.1G
CS2_hap1_chr13,16651215,16653208,-,DAB5.1bNullG
CS2_hap1_chr13,16674263,16676225,-,DAB5.1aG
CS2_hap1_chr13,16683500,16688790,-,DAA5.1G
CS2_hap2_chr13,16907805,16909757,-,DAB5.1bG
CS2_hap2_chr13,16946339,16948277,-,DAB5.1aG
CS2_hap2_chr13,16955551,16960853,-,DAA5.1G
CS4_hap1_chr13,17011785,17013762,-,DAB5.1bNullG
CS4_hap1_chr13,17061575,17063513,-,DAB5.1aG
CS4_hap1_chr13,17070801,17076164,-,DAA5.1G
CS4_hap2_chr13,16688465,16690453,-,DAB5.1bG
CS4_hap2_chr13,16719212,16721861,-,DAB5.1aG
CS4_hap2_chr13,16732152,16737404,-,DAA5.1G
CS5_hap1_chr13,17219922,17221918,-,DAB5.1bNullG
CS5_hap1_chr13,17261397,17263336,-,DAB5.1aG
CS5_hap1_chr13,17270613,17275958,-,DAA5.1G
CS5_hap2_chr13,17117527,17119506,-,DAB5.1bNullG
CS5_hap2_chr13,17162928,17164866,-,DAB5.1aG
CS5_hap2_chr13,17172140,17177502,-,DAA5.1G
CS7_hap1_chr13,17170462,17172414,-,DAB5.1bG
CS7_hap1_chr13,17216470,17218408,-,DAB5.1aG
CS7_hap1_chr13,17231183,17236628,-,DAA5.1G
CS7_hap2_chr13,17058249,17060201,-,DAB5.1bG
CS7_hap2_chr13,17087430,17090079,-,DAB5.1aG
CS7_hap2_chr13,17097310,17102652,-,DAA5.1G
CS8_hap1_chr13,17164288,17166241,-,DAB5.1bNullG
CS8_hap1_chr13,17223050,17224988,-,DAB5.1aG
CS8_hap1_chr13,17237753,17243028,-,DAA5.1G
CS8_hap2_chr13,16715350,16717304,-,DAB5.1bG
CS8_hap2_chr13,16742896,16745546,-,DAB5.1aG
CS8_hap2_chr13,16752798,16758140,-,DAA5.1G
CS10_hap1_chr13,16981856,16983808,-,DAB5.1bG
CS10_hap1_chr13,17010683,17013332,-,DAB5.1aG
CS10_hap1_chr13,17017751,17023133,-,DAA5.1G
CS10_hap2_chr13,17211170,17213122,-,DAB5.1bNullG
CS10_hap2_chr13,17234783,17237426,-,DAB5.1aG
CS10_hap2_chr13,17242656,17248001,-,DAA5.1G
BS1_hap1_chr13,17008946,17012523,-,DAB5.1bG
BS1_hap1_chr13,17049139,17051077,-,DAB5.1aG
BS1_hap1_chr13,17063842,17069206,-,DAA5.1G
BS2_hap1_chr13,17120256,17122208,-,DAB5.1bG
BS2_hap1_chr13,17151680,17153623,-,DAB5.1aG
BS2_hap1_chr13,17160904,17166295,-,DAA5.1G
BS3_hap1_chr13,16835647,16837601,-,DAB5.1bG
BS3_hap1_chr13,16856358,16859006,-,DAB5.1aG
BS3_hap1_chr13,16871686,16876990,-,DAA5.1G
BS1_hap2_chr13,16841190,16843142,-,DAB5.1bG
BS1_hap2_chr13,16889000,16890938,-,DAB5.1aG
BS1_hap2_chr13,16898220,16902926,-,DAA5.1NullG
BS2_hap2_chr13,16953854,16955824,-,DAB5.1bNullG
BS2_hap2_chr13,16976882,16978835,-,DAB5.1aG
BS2_hap2_chr13,16986114,16991489,-,DAA5.1G
BS3_hap2_chr13,17358565,17360517,-,DAB5.1bNullG
BS3_hap2_chr13,17381441,17384067,-,DAB5.1aG
BS3_hap2_chr13,17388564,17393885,-,DAA5.1G
BS4_hap1_chr13,16877847,16879799,-,DAB5.1bG
BS4_hap1_chr13,16900922,16903571,-,DAB5.1aG
BS4_hap1_chr13,16909872,16915207,-,DAA5.1G
BS5_hap1_chr13,16615693,16617647,-,DAB5.1bG
BS5_hap1_chr13,16651106,16653038,-,DAB5.1aG
BS5_hap1_chr13,16660352,16665723,-,DAA5.1G
BS6_hap1_chr13,17327242,17329194,-,DAB5.1bG
BS6_hap1_chr13,17356074,17358726,-,DAB5.1aG
BS6_hap1_chr13,17362977,17368247,-,DAA5.1G
BS4_hap2_chr13,16685981,16687920,-,DAB5.1bG
BS4_hap2_chr13,16723880,16725812,-,DAB5.1aG
BS4_hap2_chr13,16733094,16738455,-,DAA5.1G
BS5_hap2_chr13,16710886,16712840,-,DAB5.1bG
BS5_hap2_chr13,16731904,16734552,-,DAB5.1aG
BS5_hap2_chr13,16739026,16744353,-,DAA5.1G
BS6_hap2_chr13,16856920,16858673,-,DAB5.1bNullG
BS6_hap2_chr13,16880426,16883075,-,DAB5.1aG
BS6_hap2_chr13,16888761,16894077,-,DAA5.1G
NSSH2_hap1_chr13,16685310,16687259,-,DAB5.1bG
NSSH2_hap1_chr13,16723203,16725141,-,DAB5.1aG
NSSH2_hap1_chr13,16732419,16737762,-,DAA5.1G
NSSH2_hap2_chr13,16431346,16433298,-,DAB5.1bG
NSSH2_hap2_chr13,16469865,16471803,-,DAB5.1aG
NSSH2_hap2_chr13,16479095,16484430,-,DAA5.1G
NSSH10_hap1_chr13,16921439,16923391,-,DAB5.1bG
NSSH10_hap1_chr13,16962824,16964762,-,DAB5.1aG
NSSH10_hap1_chr13,16977537,16982887,-,DAA5.1G
NSSH10_hap2_chr13,16795269,16797258,-,DAB5.1bNullG
NSSH10_hap2_chr13,16821936,16823881,-,DAB5.1aG
NSSH10_hap2_chr13,16831162,16836507,-,DAA5.1G
