seq_id,start,end,strand,gene
Reference_chr7,2739932,2741999,+,DAA1.1G
Reference_chr7,2743919,2745707,+,DAB1.1G
Reference_chr7,2796440,2798105,+,DAA1.2G
Reference_chr7,2802305,2804435,+,DAB1.2G
Reference_chr7,3521116,3523240,-,DBA2.1ψG
Reference_chr7,3523688,3527022,+,DBB2.1G
Reference_chr7,3543421,3551342,-,DAB2.1G
Reference_chr7,3572828,3575492,-,DAA2.1G
Reference_chr7,19464937,19467671,-,DBA3.1G
Reference_chr7,19468123,19471846,+,DBB3.1G
Reference_chr7,28805290,28807174,-,DAB4.1G
Reference_chr7,28809248,28811465,-,DAA4.1G
Reference_chr7,28831800,28834818,-,DBB4.1G
Reference_chr7,28835266,28837438,+,DBA4.1G
Reference_chr13,16016296,16018248,-,DAB5.1aG
Reference_chr13,16040875,16042824,-,DAB5.1bG
Reference_chr13,16050001,16055280,-,DAA5.1G
Reference_chr5,26532847,26535497,+,DBB6.1G
Reference_chr5,26528019,26532413,-,DBA6.1NullG
