seq_id,start,end,strand,gene
BS6_hap1_chr13,17327242,17329194,-,DAB5.1bG
BS6_hap1_chr13,17356074,17358726,-,DAB5.1aG
BS6_hap1_chr13,17362977,17368247,-,DAA5.1G
BS6_hap1_chr5,27316111,27319763,+,DBB6.1G
BS6_hap1_chr7,3111582,3113734,+,DAA1.1G
BS6_hap1_chr7,3117567,3119611,+,DAB1.1G
BS6_hap1_chr7,3151371,3173623,+,DAA1.3G
BS6_hap1_chr7,3176278,3178619,+,DAB1.3G
BS6_hap1_chr7,3263872,3266101,+,DAA1.2G
BS6_hap1_chr7,4088782,4090917,-,DBA2.1ψG
BS6_hap1_chr7,4091365,4094413,+,DBB2.1G
BS6_hap1_chr7,4137168,4139183,-,DAB2.1G
BS6_hap1_chr7,4164886,4167136,-,DAB2.2G
BS6_hap1_chr7,4173111,4176006,-,DAA2.2G
BS6_hap1_chr7,20832126,20835433,-,DBA3.1G
BS6_hap1_chr7,20835885,20839607,+,DBB3.1G
BS6_hap1_chr7,29757612,29763695,-,DBA4.1G
BS6_hap1_chr7,29764143,29767387,+,DBB4.1G
BS6_hap1_chr7,29778520,29780520,-,DAB4.1G
BS6_hap1_chr5,27311057,27313696,-,DBA6.1NullG
BS6_hap1_chr7,3278251,3280616,+,DAB1.2G
BS6_hap1_chr7,4142646,4145480,-,DAA2.1G
BS6_hap1_chr7,29788739,29791844,-,DAA4.1G
BS6_hap1_chr7,3293864,3296109,-,DBB1.1NullG
