seq_id,start,end,strand,gene
CS5_hap1_chr7,30300553,30302552,-,DAB8.1G
CS5_hap1_chr7,30364196,30366422,+,DAA8.2G
CS5_hap1_chr7,30368526,30370440,+,DAB8.2G
CS5_hap1_chr7,30278198,30283923,-,DBA8.1G
CS5_hap1_chr7,30284371,30287094,+,DBB8.1G
CS5_hap1_chr7,30305155,30308208,-,DAA8.1G
CS5_hap2_chr7,28789567,28792290,+,DBB8.1G
CS5_hap2_chr7,28805749,28807748,-,DAB8.1G
CS5_hap2_chr7,28873722,28875636,+,DAB8.2G
CS5_hap2_chr7,28783394,28789119,-,DBA8.1G
CS5_hap2_chr7,28810351,28813404,-,DAA8.1G
CS5_hap2_chr7,28869392,28871618,+,DAA8.2G
