seq_id,start,end,strand,gene
CS8_hap1_chr13,17164288,17166241,-,DAB5.1bNullG
CS8_hap1_chr13,17223050,17224988,-,DAB5.1aG
CS8_hap1_chr13,17237753,17243028,-,DAA5.1G
CS8_hap1_chr5,27477456,27480113,+,DBB6.1G
CS8_hap1_chr7,3219812,3221992,+,DAA1.1G
CS8_hap1_chr7,3256238,3281502,+,DAA1.3G
CS8_hap1_chr7,3284161,3286075,+,DAB1.3G
CS8_hap1_chr7,3317258,3319248,+,DAA1.2G
CS8_hap1_chr7,3345183,3347237,+,DAB1.2G
CS8_hap1_chr7,4161051,4163156,-,DBA2.1ψG
CS8_hap1_chr7,4163603,4166653,+,DBB2.1G
CS8_hap1_chr7,4253427,4255650,-,DAA2.1G
CS8_hap1_chr7,4299506,4304355,-,DAB2.2G
CS8_hap1_chr7,4308214,4310245,-,DAA2.2G
CS8_hap1_chr7,4352244,4354296,-,DAB2.3NullG
CS8_hap1_chr7,4360459,4364174,-,DAA2.3NullG
CS8_hap1_chr7,21074965,21077714,-,DBA3.1G
CS8_hap1_chr7,21078166,21081883,+,DBB3.1G
CS8_hap1_chr7,30470977,30473414,-,DAB4.1G
CS8_hap1_chr7,30527670,30529659,-,DAB4.2G
CS8_hap1_chr7,30536058,30538280,-,DAA4.2G
CS8_hap1_chr7,30550476,30553498,-,DBB4.1NullG
CS8_hap1_chr7,30553946,30555341,+,DBA4.1NullG
CS8_hap1_chr5,27472924,27475038,-,DBA6.1NullG
CS8_hap1_chr7,308957,311049,+,DAA7.1G
CS8_hap1_chr7,317190,318682,+,DAB7.1NullG
CS8_hap1_chr7,3226401,3228801,+,DAB1.1G
CS8_hap1_chr7,4185737,4188475,-,DAB2.1G
CS8_hap1_chr7,30478759,30480692,-,DAA4.1G
CS8_hap1_chr7,3362416,3364618,-,DBB1.1NullG
